year,quarter,district,count,amount
2020,2,puducherry,112.0,22251.0
2020,2,tamil nadu,5473.0,1075552.0
2020,2,uttar pradesh,9884.0,1912266.0
2020,2,madhya pradesh,6283.0,1198701.0
2020,2,andhra pradesh,22104.0,3982391.0
2020,2,tripura,88.0,22054.0
2020,2,manipur,55.0,12554.0
2020,2,maharashtra,39836.0,6879717.0
2020,2,dadra & nagar haveli & daman & diu,651.0,101029.0
2020,2,meghalaya,41.0,8829.0
2020,2,andaman & nicobar islands,6.0,1360.0
2020,2,haryana,6321.0,1179814.0
2020,2,rajasthan,5373.0,1095933.0
2020,2,ladakh,14.0,2538.0
2020,2,punjab,2036.0,399452.0
2020,2,assam,978.0,210034.0
2020,2,jharkhand,2063.0,405031.0
2020,2,odisha,2981.0,615193.0
2020,2,bihar,2816.0,595621.0
2020,2,kerala,1588.0,360216.0
2020,2,karnataka,27358.0,4794150.0
2020,2,chandigarh,149.0,29537.0
2020,2,telangana,19003.0,3419453.0
2020,2,himachal pradesh,392.0,77936.0
2020,2,west bengal,7619.0,1432764.0
2020,2,gujarat,7697.0,1430591.0
2020,2,sikkim,21.0,4789.0
2020,2,nagaland,41.0,9791.0
2020,2,mizoram,31.0,7322.0
2020,2,chhattisgarh,1346.0,279005.0
2020,2,jammu & kashmir,206.0,48484.0
2020,2,goa,341.0,71100.0
2020,2,arunachal pradesh,65.0,14329.0
2020,2,delhi,11716.0,1897480.0
2020,2,uttarakhand,660.0,134899.0
2020,3,puducherry,191.0,58399.0
2020,3,tamil nadu,8026.0,2257373.0
2020,3,uttar pradesh,18131.0,4436969.0
2020,3,madhya pradesh,14476.0,3496126.0
2020,3,andhra pradesh,49812.0,12426481.0
2020,3,tripura,249.0,61642.0
2020,3,lakshadweep,4.0,1199.0
2020,3,manipur,134.0,45164.0
2020,3,maharashtra,71662.0,19230156.0
2020,3,dadra & nagar haveli & daman & diu,257.0,65504.0
2020,3,meghalaya,112.0,33615.0
2020,3,andaman & nicobar islands,41.0,15380.0
2020,3,haryana,7139.0,1884868.0
2020,3,rajasthan,15235.0,3758527.0
2020,3,ladakh,33.0,10260.0
2020,3,punjab,2488.0,684753.0
2020,3,assam,2206.0,599450.0
2020,3,jharkhand,5368.0,1349934.0
2020,3,odisha,10955.0,2640191.0
2020,3,bihar,9733.0,2161102.0
2020,3,kerala,8811.0,2830361.0
2020,3,karnataka,53701.0,12407394.0
2020,3,chandigarh,264.0,70969.0
2020,3,telangana,34395.0,8406543.0
2020,3,himachal pradesh,531.0,165559.0
2020,3,west bengal,12596.0,2878482.0
2020,3,gujarat,12525.0,3335812.0
2020,3,sikkim,94.0,28000.0
2020,3,nagaland,89.0,20798.0
2020,3,mizoram,74.0,24691.0
2020,3,chhattisgarh,4702.0,1393656.0
2020,3,jammu & kashmir,441.0,133339.0
2020,3,goa,683.0,196864.0
2020,3,arunachal pradesh,135.0,39687.0
2020,3,delhi,7588.0,1927285.0
2020,3,uttarakhand,1403.0,418543.0
2020,4,puducherry,234.0,197955.0
2020,4,tamil nadu,10290.0,8993575.0
2020,4,uttar pradesh,17470.0,14180417.0
2020,4,madhya pradesh,10653.0,4897124.0
2020,4,andhra pradesh,21464.0,12985632.0
2020,4,tripura,244.0,149765.0
2020,4,manipur,90.0,49057.0
2020,4,maharashtra,44798.0,27113814.0
2020,4,dadra & nagar haveli & daman & diu,232.0,149513.0
2020,4,meghalaya,92.0,71029.0
2020,4,andaman & nicobar islands,124.0,157975.0
2020,4,haryana,8283.0,5974278.0
2020,4,rajasthan,12509.0,6471573.0
2020,4,ladakh,27.0,34206.0
2020,4,punjab,2451.0,1884291.0
2020,4,assam,2413.0,1806801.0
2020,4,jharkhand,3659.0,2857024.0
2020,4,odisha,7526.0,4208701.0
2020,4,bihar,9913.0,7860932.0
2020,4,kerala,5479.0,4445525.0
2020,4,karnataka,31747.0,26814968.0
2020,4,chandigarh,200.0,153341.0
2020,4,telangana,20961.0,11339099.0
2020,4,himachal pradesh,710.0,630966.0
2020,4,west bengal,10233.0,7510455.0
2020,4,gujarat,9990.0,6055037.0
2020,4,sikkim,67.0,70214.0
2020,4,nagaland,62.0,38836.0
2020,4,mizoram,81.0,119124.0
2020,4,chhattisgarh,3757.0,2249901.0
2020,4,jammu & kashmir,647.0,734861.0
2020,4,goa,614.0,682364.0
